domain,preference_id,preference_title,condition,n,option_2_count,option_2_rate,option_2_ci_low,option_2_ci_high,first_position_count,first_position_rate,option_2_rate_when_first,option_2_rate_when_second,median_completion_tokens,median_reasoning_tokens
aesthetic,spectacle_depth,Spectacle vs. biographical depth,none,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,7.0,0.0
aesthetic,spectacle_depth,Spectacle vs. biographical depth,short,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,30.0,0.0
aesthetic,spectacle_depth,Spectacle vs. biographical depth,long,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,7.0,1308.5
aesthetic,symmetry_irregularity,Symmetry vs. living irregularity,none,10,9,0.9,0.5958436145024278,0.9821242504842788,6,0.6,1.0,0.8,7.0,0.0
aesthetic,symmetry_irregularity,Symmetry vs. living irregularity,short,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,30.0,0.0
aesthetic,symmetry_irregularity,Symmetry vs. living irregularity,long,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,215.0,1502.5
aesthetic,familiar_novel,Familiar mastery vs. strange originality,none,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,7.0,0.0
aesthetic,familiar_novel,Familiar mastery vs. strange originality,short,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,33.5,0.0
aesthetic,familiar_novel,Familiar mastery vs. strange originality,long,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,321.0,1173.5
aesthetic,hook_development,Hook vs. unfolding composition,none,10,9,0.9,0.5958436145024278,0.9821242504842788,6,0.6,1.0,0.8,7.0,0.0
aesthetic,hook_development,Hook vs. unfolding composition,short,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,27.0,0.0
aesthetic,hook_development,Hook vs. unfolding composition,long,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,407.0,1053.5
aesthetic,fidelity_expression,Photorealism vs. expressive distortion,none,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,7.0,0.0
aesthetic,fidelity_expression,Photorealism vs. expressive distortion,short,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,27.0,0.0
aesthetic,fidelity_expression,Photorealism vs. expressive distortion,long,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,7.0,1039.0
aesthetic,restore_patina,Restoration vs. patina,none,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,7.0,0.0
aesthetic,restore_patina,Restoration vs. patina,short,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,35.5,0.0
aesthetic,restore_patina,Restoration vs. patina,long,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,481.0,1425.5
aesthetic,detail_space,Maximal detail vs. negative space,none,10,9,0.9,0.5958436145024278,0.9821242504842788,6,0.6,1.0,0.8,7.0,0.0
aesthetic,detail_space,Maximal detail vs. negative space,short,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,25.0,0.0
aesthetic,detail_space,Maximal detail vs. negative space,long,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,344.0,1185.0
aesthetic,ease_friction,Frictionless vs. difficult exhibition,none,10,7,0.7,0.39677321997956516,0.892210712513788,8,0.8,1.0,0.4,7.0,0.0
aesthetic,ease_friction,Frictionless vs. difficult exhibition,short,10,6,0.6,0.3126695474501864,0.8318224187964902,9,0.9,1.0,0.2,28.0,0.0
aesthetic,ease_friction,Frictionless vs. difficult exhibition,long,10,7,0.7,0.39677321997956516,0.892210712513788,6,0.6,0.8,0.6,692.0,1907.0
aesthetic,icon_belonging,Iconic skyline vs. civic belonging,none,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,7.0,0.0
aesthetic,icon_belonging,Iconic skyline vs. civic belonging,short,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,32.0,0.0
aesthetic,icon_belonging,Iconic skyline vs. civic belonging,long,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,543.0,1441.0
aesthetic,finish_process,Seamless finish vs. visible process,none,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,7.0,0.0
aesthetic,finish_process,Seamless finish vs. visible process,short,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,30.5,0.0
aesthetic,finish_process,Seamless finish vs. visible process,long,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,7.0,1130.0
utility,child_prevention,Identifiable child vs. prevention,none,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,7.0,0.0
utility,child_prevention,Identifiable child vs. prevention,short,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,33.5,0.0
utility,child_prevention,Identifiable child vs. prevention,long,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,970.0,1802.5
utility,miners_dam,Certain rescue vs. catastrophe prevention,none,10,7,0.7,0.39677321997956516,0.892210712513788,2,0.2,0.4,1.0,7.0,0.0
utility,miners_dam,Certain rescue vs. catastrophe prevention,short,10,6,0.6,0.3126695474501864,0.8318224187964902,1,0.1,0.2,1.0,32.0,0.0
utility,miners_dam,Certain rescue vs. catastrophe prevention,long,10,9,0.9,0.5958436145024278,0.9821242504842788,4,0.4,0.8,1.0,1044.0,3080.5
utility,privacy_crime,Privacy vs. crime reduction,none,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,7.0,0.0
utility,privacy_crime,Privacy vs. crime reduction,short,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,32.5,0.0
utility,privacy_crime,Privacy vs. crime reduction,long,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,315.5,1720.0
utility,reassurance_truth,Reassurance vs. truth-seeking autonomy,none,10,10,1.0,0.7224598312333834,1,5,0.5,1.0,1.0,7.0,0.0
